the;o
be;ser
to;para
of;de
and;e
a;um
in;em
that;que
have;ter
i;eu
it;isso
for;para
not;não
on;em
with;com
he;ele
as;como
you;você
do;fazer
at;em
this;este
but;mas
his;seu
by;por
from;de
they;eles
we;nós
say;dizer
her;dela
she;ela
or;ou
an;um
will;vai
my;meu
one;um
all;todo
would;iria
there;lá
their;deles
what;o que
so;então
up;cima
out;fora
if;se
about;sobre
who;quem
get;obter
which;qual
go;ir
me;me
when;quando
make;fazer
can;poder
like;gostar
time;tempo
no;não
just;apenas
him;ele
know;saber
take;pegar
people;pessoas
into;em
year;ano
your;seu
good;bom
some;alguns
could;poderia
them;eles
see;ver
other;outro
than;do que
then;então
now;agora
look;olhar
only;apenas
come;vir
its;seu
over;sobre
think;pensar
also;também
back;de volta
after;depois
use;usar
two;dois
how;como
our;nosso
work;trabalho
first;primeiro
well;bem
way;caminho
even;mesmo
new;novo
want;querer
because;porque
any;qualquer
these;estes
give;dar
day;dia
most;a maioria
us;nós
was;foi
long;longo
night;noite
quiet;quieto
were;foram
am;sou
is;é
are;são
lived;viveu
boy;menino
chapter;capítulo
number;número
four;quatro
proud;orgulhoso
normal;normal
very;muito
much;muito
last;último
expect;esperar
involved;envolvido
anything;qualquer coisa
strange;estranho
mysterious;misterioso
hold;segurar
such;tal
nonsense;absurdo
director;diretor
firm;firma
called;chamado
made;fez
drills;furadeiras
big;grande
man;homem
hardly;mal
neck;pescoço
although;embora
did;fez
large;grande
thin;magro
blonde;loira
had;teve
nearly;quase
twice;duas vezes
usual;usual
amount;quantidade
came;veio
useful;útil
spent;gastou
her;dela
craning;esticando
garden;jardim
fences;cercas
spying;espiando
neighbours;vizinhos
small;pequeno
son;filho
opinion;opinião
finer;melhor
anywhere;em qualquer lugar
everything;tudo
wanted;queria
secret;segredo
greatest;maior
fear;medo
somebody;alguém
discover;descobrir
bear;suportar
anyone;qualquer um
found;encontrou
sister;irmã
met;conheceu
several;vários
years;anos
fact;fato
pretended;fingiu
husband;marido
possible;possível
shuddered;estremeceu
arrived;chegou
street;rua
knew;sabia
never;nunca
seen;visto
another;outro
reason;razão
keeping;mantendo
away;longe
mixing;misturando
child;criança
woke;acordou
dull;cinza
grey;cinza
tuesday;terça-feira
story;história
starts;começa
nothing;nada
cloudy;nublado
sky;céu
outside;fora
suggest;sugerir
things;coisas
soon;logo
happening;acontecendo
country;país
hummed;cantarolou
picked;pegou
most;mais
boring;chato
tie;gravata
gossiped;fofocou
happily;felizmente
wrestled;lutou
screaming;gritando
high;alto
chair;cadeira
none;nenhum
noticed;notou
tawny;marrom
owl;coruja
flutter;voar
past;passado
window;janela
half;metade
eight;oito
briefcase;maleta
pecked;beijou
cheek;bochecha
tried;tentou
kiss;beijar
goodbye;adeus
missed;perdeu
having;tendo
tantrum;birra
throwing;jogando
cereal;cereal
walls;paredes
little;pequeno
tyke;garoto
chortled;riu
left;saiu
house;casa
got;entrou
car;carro
backed;deu ré
drive;entrada
corner;esquina
first;primeiro
sign;sinal
something;algo
peculiar;peculiar
cat;gato
reading;lendo
map;mapa
second;segundo
realise;perceber
jerked;virou
head;cabeça
around;ao redor
again;novamente
tabby;listrado
standing;em pé
sight;vista
been;sido
thinking;pensando
must;deve
trick;truque
light;luz
blinked;piscou
stared;encarou
drove;dirigiu
road;estrada
watched;observou
mirror;espelho
